Agent,Income,Distance,Price_iterative,Prices_recursive,Prices_memo
608,155.0794517655715,3.696929769469027,141.2407961950868,141.2407961950868,141.2407961950868
609,155.00592085989214,3.6984310916001735,141.220114787947,141.220114787947,141.220114787947
610,154.97793886411569,3.708213721350039,141.08486662610082,141.08486662610082,141.08486662610082
611,154.72370053375215,3.715025043479225,140.99165103456622,140.99165103456622,140.99165103456622
612,154.3318732291807,3.7208908556248015,140.91316984426268,140.91316984426268,140.91316984426268
613,154.1707735729104,3.728002743904347,140.81854717358476,140.81854717358476,140.81854717358476
614,153.94175747324059,3.729521700607412,140.79859843853748,140.79859843853748,140.79859843853748
615,153.86954554684561,3.7347623462866117,140.7299184294425,140.7299184294425,140.7299184294425
616,153.78079091547698,3.782203477470745,140.09584870173526,140.09584870173526,140.09584870173526
617,153.73856195732344,3.7885789468192717,140.0085921463531,140.0085921463531,140.0085921463531
618,153.6862182251286,3.805924193361026,139.76928089342323,139.76928089342323,139.76928089342323
619,153.66235452088785,3.8069621389755417,139.7548531522694,139.7548531522694,139.7548531522694
620,153.4960186114364,3.8071788508696267,139.75187495558214,139.75187495558214,139.75187495558214
621,153.46437422221402,3.813986989269818,139.65819984803966,139.65819984803966,139.65819984803966
622,153.34255862459645,3.8199085007772773,139.57692736959396,139.57692736959396,139.57692736959396
623,153.30297401659934,3.82271408494418,139.53836371895866,139.53836371895866,139.53836371895866
624,153.197750829566,3.834326338454387,139.37882293176472,139.37882293176472,139.37882293176472
625,153.1421408663559,3.8365906829637293,139.34762272769476,139.34762272769476,139.34762272769476
626,152.99432122166394,3.8372448808885675,139.33869216499983,139.33869216499983,139.33869216499983
627,152.8628685055793,3.8393585285968026,139.3100765897026,139.3100765897026,139.3100765897026
628,152.64406411664478,3.852536043133755,139.13320497049057,139.13320497049057,139.13320497049057
629,152.61387981550405,3.8537872900915353,139.11632675989915,139.11632675989915,139.11632675989915
630,152.5510802858768,3.86784414537606,138.9261428112887,138.9261428112887,138.9261428112887
631,152.43373818417746,3.876067834051355,138.81460254458904,138.81460254458904,138.81460254458904
632,152.38528592401886,3.8847571898752875,138.6961682341955,138.6961682341955,138.6961682341955
633,152.33856189170365,3.8863194935224614,138.67483801502715,138.67483801502715,138.67483801502715
634,152.2097359269377,3.89672766155084,138.5332288557248,138.5332288557248,138.5332288557248
635,152.20501005082104,3.8977999544679864,138.51856083878465,138.51856083878465,138.51856083878465
636,152.1014186738453,3.903486267387875,138.4411044468542,138.4411044468542,138.4411044468542
637,151.693410767133,3.9192335294952447,138.230765118009,138.230765118009,138.230765118009
